"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a developer
  I want to be sure
  That the Rest API is working as expected","36","Verify amount of returned items is expected","","Tue Jun 23 05:38:57 UTC 2026","passed","Tue Jun 23 05:38:57 UTC 2026","","Rest API functionality Scenarios","Verify amount of returned items is expected",""
"  As a developer
  I want to be sure
  That the Rest API is working as expected","44","Verify status code returned is expected","","Tue Jun 23 05:38:57 UTC 2026","passed","Tue Jun 23 05:38:57 UTC 2026","","Rest API functionality Scenarios","Verify status code returned is expected",""
"  As a developer
  I want to be sure
  That the Rest API is working as expected","583","Verify status code returned is expected","","Tue Jun 23 05:38:57 UTC 2026","passed","Tue Jun 23 05:38:57 UTC 2026","","Rest API functionality Scenarios","Verify status code returned is expected",""
